C03557	NCCP(O)(O)=O
C06422	OC[C@H]1O[C@@H](O[C@@H]2[C@@H](CO)O[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
C05669	OC(CC[N+]([O-])=O)=O
C17569	COC1=C(OC)C(=O)C(C\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CCC=C(C)C)=C(C)C1=O
C16407	OC[C@H]1O[C@@H](Oc2cc(O)c(C(=O)\C=C\c3ccc(O)cc3)c(O)c2)[C@H](O)[C@@H](O)[C@@H]1O
C20221	C=CC(CCC=C(C)C=O)(O)C
C19624	C(CCCCCCCCCCCCCCCCCCCCC([O-])=O)=O
C06792	[CH](Cl)=[CH]Cl
C08540	C(C=C1(CC(NC(C([O-])=O)=C1)C([O-])=O))=[N+]2(C(CC3(C=C(C(=CC2=3)O)OC4(C(C(C(C(O4)CO)O)O)O)))C([O-])=O)
C02488	CC[C@@](O)(CC(O)=O)C(O)=O
C06758	Cc1ccc(C=O)cc1
C12370	CC1(=C(C([O-])=O)C(OC)=CC2(C1=C(O)C3(=C(C=2)C(=O)C4(=C(C(=O)3)C(O)=CC(OC)=C4))))
C11150	C(C([O-])=O)(Cl)(Cl)Cl
C12455	C([N+])CCC[CH]=O
C07479	CC(C=CC(C(=O)[O-])=O)C([O-])=O
C20943	C=CC(=C)CC(O)C=C(C)C
C20326	CC1(OC2(C)(C(O)CC1CC2))(C)
C03885	CC(C)=CCC\C(C)=C\CC\C(C)=C\CC\C(C)=C\CC\C(C)=C\CC\C(C)=C\CC\C(C)=C\CC\C(C)=C\CC\C(C)=C\COC(=O)c1ccc(O)cc1
C00975	CN(C(=O)C(Cl)Cl)c1ccc(OC(=O)c2ccco2)cc1
C08628	[H][C@]12CC[C@]3([H])[C@@]4(C)CC[C@H](O)C(C)(C)[C@]4([H])CC[C@@]3(C)[C@]1(C)CC[C@@]1(C)CC[C@@H](C(C)=C)[C@]21[H]
C02806	C3(=CC(O)=CC=C(C1(=C([O-])C(=O)C2(C(O)=CC(O)=C(O)C(O1)=2)))3)
C08521	C3(N2(CC5(C([CH]1(C(O)CC=C([CH]12)C3))=CC4(OCOC=4C=5))))
C00111	C(CO)(COP(O)(=O)O)=O
C19822	C(O)C1(OCC(=O)C(O)=C1)
