C03557	NCCP(O)(O)=O
C04938	CCCCCCCCCCCCC\C=C\[C@H](O)[C@H](CO[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O[C@@H]3O[C@H](CO)[C@@H](O[C@@H]4O[C@H](CO)[C@H](O)[C@H](O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5NC(C)=O)[C@H]4O)[C@H](O)[C@H]3NC(C)=O)[C@H]2O)[C@H](O)[C@H]1O)NC([*])=O
C03940	OC[C@H]1O[C@@H](Oc2cc3c(O)cc(O)cc3[o+]c2-c2cc([*])c(O)c([*])c2)[C@H](O)[C@@H](O)[C@@H]1O
C01001	[H]C(=O)NCc1cc(COc2ccc(CCNC(=O)CC[C@H](NC(=O)CC[C@H](NC(=O)CC[C@@H]([C@@H](CCC(O)=O)C(O)=O)C(O)=O)C(O)=O)C(O)=O)cc2)co1
C01171	O1[C@@H](C(C(C([C@H]1OP(O)(=O)O)O)O)O)CO
C00416	OP(O)(=O)OCC(COC([*])=O)OC([*])=O
C03079	N[C@@H](CC(O)C(O)=O)C(O)=O
C02003	[*-].[*]c1c([*])c([*])c(c([*])c1[*])-c1[o+]c2c([*])c([*])c([*])c([*])c2c([*])c1[*]
C02255	Nc1ccn([C@@H]2O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H](O)COC([*])=O)[C@@H](O)[C@H]2O)c(=O)n1
C00828	C=1N=CNC1C[C@@H](C(=O)O)O
C17147	[H][C@]1(O)[C@H](O)C[C@@](O)(C[C@H]1OC(=O)\C=C\c1ccc(O)c(O)c1)C(O)=O
C11535	O[C@@H]1CO[C@@H](OC[C@H]2O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H]1O
C06541	CO[C@H]1[C@@H](C[C@@H]2CN3CCc4c([nH]c5ccccc45)[C@H]3C[C@@H]2[C@@H]1C(=O)OC)OC(=O)c1cc(OC)c(OC)c(OC)c1
C00900	CC(=O)C(C)(O)C(O)=O
C01401	CC(N)C(O)=O
C04692	C[NH2+]C(CCc1nc(C[C@H](N)C(O)=O)c[nH]1)C(O)=O
C00725	OC(=O)CCCC[C@@H]1CCSS1
C00591	[H][C@]1(OC(O)(C[C@H](O)[C@H]1NC([*])=O)C(O)=O)[C@H](O)[C@H](O)CO
C11557	[H][C@@](COC([*])=O)(COP(O)(=O)O[C@@H]1[C@H](O)[C@H](O)[C@@H](O)[C@H](OP(O)(O)=O)[C@H]1O)OC([*])=O
C04939	CCCCCCCCCCCCC\C=C\[C@@H](O)[C@H](CO[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O[C@@H]3O[C@H](CO)[C@@H](O[C@@H]4O[C@H](CO[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5NC(C)=O)[C@H](O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3NC(C)=O)[C@H]2O)[C@H](O)[C@H]1O)NC(C)=O
C00836	CCCCCCCCCCCCCCC[C@@H](O)[C@@H](N)CO
C01968	CC(C)=CCC\C(C)=C\CC\C(C)=C\CC\C(C)=C\CC\C(C)=C\CC\C(C)=C\CC\C(C)=C\CC\C(C)=C\CC\C(C)=C\CC\C(C)=C\CC\C(C)=C\CO
C04872	[H][C@]1(O[C@@](C[C@H](O)[C@H]1NC(C)=O)(O[C@H]1[C@@H](O)[C@@H](CO)O[C@@H](OC[C@@H](COC([*])=O)OC([*])=O)[C@@H]1O)C(O)=O)[C@H](O)[C@H](O)CO
C05981	[H][C@@](COC([*])=O)(COP(O)(=O)O[C@@H]1[C@H](O)[C@H](OP(O)(O)=O)[C@@H](OP(O)(O)=O)[C@H](OP(O)(O)=O)[C@H]1O)OC([*])=O
C04269	C[C@H]1OC(OP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H](C[C@@H]2O)n2cc(C)c(=O)[nH]c2=O)[C@H](O)[C@@H](O)C1=O
C02557	CC(C(O)=O)C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)n1cnc2c(N)ncnc12
C04093	O[C@H](C#N)c1ccc(O)cc1
C00012	OCC(=O)[C@@H](O)[C@H](O)CC([O-])=O
C04826	[H]C(=CC(=O)C(O)=O)c1c(O)cc(nc1O)C(O)=O
C01488	OC[C@@]1(O)CO[C@@H](O)[C@@H]1O
C01117	O[C@H]1[C@@H]([*])[C@H]([*])O[C@@H]1COP(O)(O)=O
C06215	OC[C@H]1OC(O)[C@H](NS(O)(=O)=O)[C@@H](O)[C@@H]1O
C04491	[Cl-].C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](Oc3cc4c(O)cc(O)cc4[o+]c3-c3ccc(O)c(O)c3)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O
C04233	C[N+](C)(C)CCOP(O)(=O)OC[C@@H](CO)OC([*])=O
C00405	N[C@H]([*])C(O)=O
C01194	[C@@H]1([C@@H]([C@@H]([C@@H]([C@H]([C@@H]1O)O)O)O)OP(OC[C@@H](COC(*)=O)OC(=O)*)(=O)O)O
C01064	[H][C@]1(O[C@](C[C@H](O)[C@H]1NC([*])=O)(OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1ccc(N)nc1=O)C(O)=O)[C@@H](O)[C@@H](O)CO
C02076	OC[C@H]1O[C@](O)(CO)[C@@H](O)[C@H](O)[C@@H]1O
C03281	NC[C@H]1O[C@H](O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H]2O)[C@H](O)[C@@H](OP(O)(O)=O)[C@@H]1O
C02133	OP(O)(=O)OC([*])=O
C00404	Cc1cc2ncn([C@H]3O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]3O)c2cc1C
C04504	CC(=O)N[C@H]1C[C@@H](N)[C@H](O[*])[C@@H](O)[C@@H]1O[*]
C11556	[H][C@@](COC([*])=O)(COP(O)(=O)O[C@H]1[C@H](O)[C@@H](OP(O)(O)=O)[C@H](O)[C@@H](OP(O)(O)=O)[C@H]1O)OC([*])=O
C00454	O[C@H]1[C@H]([*])O[C@H](COP(O)(=O)OP(O)(O)=O)[C@H]1O
C02809	CCCS(=O)c1ccc2[nH]c(NC(=O)OC)nc2c1
C00681	O[C@H](COC([*])=O)COP(O)(O)=O
C04776	CC(=O)N[C@H]1[C@H](OC[C@H](N)C(O)=O)O[C@H](CO)[C@H](O)[C@@H]1OC1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O
C04908	[Br-].Cc1ncc(C[n+]2cccc(CCO)c2C)c(O)n1
C04708	CCCCCCCCCCCCC\C=C\[C@@H](O)[C@H](CO[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)NC(=O)C(O)[*]
C04792	CCCCCC[C@H](O)C\C=C/CCCCCCCC(=O)O[C@H](COC([*])=O)COP(O)(=O)OCC[N+](C)(C)C
C02530	[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC=C4C[C@H](CC[C@]4(C)[C@@]3([H])CC[C@]12C)OC([*])=O)[C@H](C)CCCC(C)C
C04922	CCCCCCCCCCCCC\C=C\[C@@H](O)[C@H](COC1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O[C@@H]3O[C@H](CO)[C@@H](O[C@@H]4O[C@H](CO)[C@H](O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3NC(C)=O)[C@H]2O)[C@H](O)[C@H]1O)NC(C)=O
C16644	[C@@H](CCC(N)=O)(NC(=O)*)C(O)=O
C00270	[H][C@]1(OC(O)(C[C@H](O)[C@H]1NC(C)=O)C(O)=O)[C@H](O)[C@H](O)CO
C03543	CC(C)=CCC\C(C)=C\CC\C(C)=C\CC\C(C)=C\CC\C(C)=C\CC\C(C)=C\CC\C(C)=C\CC\C(C)=C\CC\C(C)=C\CC\C(C)=C\CC\C(C)=C\COP(O)(=O)OP(O)(O)=O
C00597	OC(COP(O)(O)=O)C(O)=O
C00115	[Cl-]
C00185	OC[C@H]1O[C@@H](O[C@@H]2[C@@H](CO)OC(O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
C00375	N[*]
C01450	[*]C([*])=O
C03939	CC(=O)S[*]
C04845	CCCCCCCCCCCCC\C=C\[C@@H](O)[C@H](CO[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3NC(C)=O)[C@H]2O)[C@H](O)[C@H]1O)NC(C)=O
C03968	O[C@H](CO[*])COP(O)(O)=O
C03846	CC(=O)NCCCC(N)CC(O)=O
C00661	[H]C(=O)C(O)COP(O)(O)=O
C04308	O(P(=O)(OCCN(C)C)O)CC(OC(*)=O)COC(*)=O
C04385	C1(=C2C(=C(C(=C1*)*)*)C(C(=C(O2)C3=C(C(=C(C(=C3*)*)*)*)*)O[C@@H]4O[C@@H]([C@H]([C@@H]([C@H]4O)O)O)COC(CC(O)=O)=O)=O)*
C04512	CC(C)(COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)n1cnc2c(N)ncnc12)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)\C=C\C=C\[*]
C00193	O=Cc1ccccc1
C00609	[*]C=O
C01329	O[C@H]1[C@H]([*])O[C@H](COP(O)(O)=O)[C@H]1O
C03715	OP(O)(=O)OCC(=O)CO[*]
C11259	C[C@](O)(CO)[C@H](O)[C@@]12NC(=O)[C@@](O)(NC1=O)C(=C)CCO2
C05330	NC(CCS)C(O)=O
C00425	OCC(O)C1OC(=O)C(=O)C1=O
C00980	[C-]#[O+]
C05226	NC(=O)N[C@H]([*])C(O)=O
C01277	[H][C@@](COC([*])=O)(COP(O)(=O)O[C@@H]1[C@H](O)[C@H](O)[C@@H](OP(O)(O)=O)[C@H](O)[C@H]1O)OC([*])=O
C02926	NC1CCOC1=O
C10255	CC(C)CC(=O)O[C@@H]1[C@H](OC(C)=O)c2c(OC1(C)C)ccc1ccc(=O)oc21
C04910	CCCCCCCCCCCCC\C=C\[C@@H](O)[C@H](CO[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O[C@@H]4O[C@H](CO)[C@H](O)[C@H](O)[C@H]4O)[C@H]3NC(C)=O)[C@H]2O)[C@H](O)[C@H]1O)NC([*])=O
C00208	OC[C@H]1O[C@H](O[C@@H]2[C@@H](CO)OC(O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
C03789	[H]C(=O)[C@H](NS(O)(=O)=O)[C@@H](O)[C@H](O)[C@H](O)COS(O)(=O)=O
C04894	C[C@H]([NH3+])C(=O)NCCCC[C@H](NC(=O)CC[C@@H](NC(=O)[C@H](C)NC(=O)C(C)O[C@H]1[C@H](O)[C@@H](CO)O[C@H](OP([O-])(=O)OP([O-])(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2ccc(=O)[nH]c2=O)[C@@H]1NC(C)=O)C([O-])=O)C(=O)N[C@H](C)C(=O)N[C@H](C)C([O-])=O
C00395	[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC([*])=O)C(O)=O
C02858	N[C@@H](CCCNC([*])=O)C(O)=O
C01481	OC(=O)C=Cc1ccc(O)c(O)c1
C01885	OCC(O)COC([*])=O
C03957	C(*)(=O)[C@@H](N*)C(C([O-])=O)O
C04674	O[C@@H]1O[C@H](COS(O)(=O)=O)[C@@H](O)[C@H](OC2O[C@@H]([C@@H](O)[C@H](O)[C@H]2O)C(O)=O)[C@H]1NS(O)(=O)=O
C00862	NCc1cc(COc2ccc(CCNC(=O)CC[C@H](NC(=O)CC[C@H](NC(=O)CC[C@@H]([C@@H](CCC(O)=O)C(O)=O)C(O)=O)C(O)=O)C(O)=O)cc2)co1
C11035	C1CC2=C(CC1)C(N(C2=O)C3=CC4=C(C=C3F)OCC(N4CC#C)=O)=O
C04361	CC(=O)O[C@H](CO[*])COC([*])=O
C04756	C(OC[C@H](COP(OCCN)(=O)O)OC(*)=O)=C*
C00071	[H]C([*])=O
C03899	N[C@@H](CCC(=O)N[C@@H](CSC(=O)C(O)[*])C(=O)NCC(O)=O)C(O)=O
C06379	OC(=O)CC[C@@H](NC([*])=O)C(O)=O
C04230	C[N+](C)(C)CCOP(O)(=O)OC[C@H](O)COC([*])=O
C00717	O[C@@H]1C[C@@](O)(C[C@@H](O)[C@H]1O)C(O)=O
C02860	CNc1ncnc2[nH]cnc12
C00259	O[C@H]1COC(O)[C@H](O)[C@H]1O
C01768	CC(C)C(=C)C\C=C(\C)C=O
C02446	OCC(=O)CO[*]
C03985	CC(C)=CCCC(C)(O)C=C
C02788	[H]C(=O)\C=C\CCCCCCCCCCCCC
C03692	OC[C@H]1O[C@@H](OC[C@@H](COC([*])=O)OC([*])=O)[C@H](O)[C@@H](O)[C@H]1O
C00973	O[C@H]1C[C@@H](O[C@@H]1COP(O)(O)=O)n1ccc(=O)[nH]c1=O
C00550	CCCCCCCCCCCCC\C=C\[C@@H](O)[C@H](COP(O)(=O)OCC[N+](C)(C)C)NC([*])=O
C06720	CC1=CC=CC(O)(C1O)C(O)=O
C02500	OC(C([O-])=O)C([O-])=O
C06364	OC[C@H]1O[C@H](OC[C@@H](COC([*])=O)OC([*])=O)[C@H](O)[C@@H](O)[C@@H]1O
C00660	O[C@H]1[C@H](O)[C@@H](COP(O)(O)=O)O[C@H](OP(O)(O)=O)[C@@H]1O
C01408	OC(C(=O)c1ccccc1)c1ccccc1
C00243	OC[C@H]1O[C@@H](O[C@@H]2[C@@H](CO)OC(O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@H]1O
C00092	OC1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H](O)[C@H]1O
C01127	OC(CC(=O)C(O)=O)C(O)=O
C14194	Oc1c(Cl)cc(cc1Cl)-c1cc(Cl)c(O)c(Cl)c1
C00117	OC1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O
C04184	CC(O)(CC(=O)C(O)=O)C(O)=O
C00958	P(OC[C@@H](CO/C=C/*)OC(=O)*)(=O)(OCC[N+](C)(C)C)[O-]
C00641	OC[C@@H](COC([*])=O)OC([*])=O
C00716	NC(CO)C(O)=O
C04517	C[N+](C)(C)CCOP([O-])(=O)OC[C@H](O)CO\C=C\[*]
C03214	CC(=O)C(N)C(O)=O
C01282	CCCCCCCC\C=C/CCCCCCCC(=O)O[C@H](COC([*])=O)COP([O-])(=O)OCC[N+](C)(C)C
C00422	[*]C(=O)OCC(COC([*])=O)OC([*])=O
C02454	Nc1cccc(N)c1
C02489	O[C@H]([*])C(O)=O
C00087	[S]
C03974	OC[C@H](COP(O)(O)=O)OC([*])=O
C00269	Nc1ccn([C@@H]2O[C@H](COP(O)(=O)OP(O)(=O)OC[C@@H](COC([*])=O)OC([*])=O)[C@@H](O)[C@H]2O)c(=O)n1
C04599	OC(=O)C1CCCCN1
C00390	[H][C@]12[C@H](C)Nc3nc(N)[nH]c(=O)c3[N+]1=CN([C@@H]2C)c1ccc(C[C@H](O)[C@H](O)[C@H](O)CO[C@H]2O[C@H](COP(O)(=O)O[C@@H](CCC(O)=O)C(O)=O)[C@@H](O)[C@H]2O)cc1
C02389	[O]c1ccc(O)cc1
C00165	[*]OCC(CO[*])O[*]
C01872	*C*
C01188	CC(CO)C([O-])=O
C02998	*NC(=O)C
C01094	OC[C@H]1OC(O)(COP(O)(O)=O)[C@@H](O)[C@@H]1O
C04610	CC(=O)N[C@H]1[C@H](O)O[C@H](CO)[C@H](O)[C@@H]1OC1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O
C03303	NCCCCC(N)=O
C02589	N[C@@H](CCC(=O)N[C@@H](CSC([*])=O)C(=O)NCC(O)=O)C(O)=O
C06133	[H][C@]1(O[C@@](C[C@H](O)[C@H]1NC(C)=O)(O[C@H](CO)[C@@H](O)[C@]1([H])O[C@@](C[C@H](O)[C@H]1NC(C)=O)(O[C@H]1[C@@H](O)[C@@H](CO)O[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](OC[C@H](NC([*])=O)[C@H](O)\C=C\CCCCCCCCCCCCC)O[C@@H]2CO)[C@@H]1O)C(O)=O)C(O)=O)[C@H](O)[C@H](O)CO
C04074	OC[C@H]1O[C@@H](Oc2ccc3c(c2)occ(-c2ccccc2)c3=O)[C@H](O)[C@@H](O)[C@@H]1O
C00343	[*]N[C@@H](CSSC[C@H](N[*])C([*])=O)C([*])=O
C04911	CCCCCCCCCCCCC\C=C\[C@@H](O)[C@H](CO[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O[C@@H]3O[C@H](CO)[C@H](O)[C@H](O[C@@H]4O[C@H](CO)[C@H](O)[C@H](O)[C@H]4O)[C@H]3NC(C)=O)[C@H](O[C@@]3(C[C@H](O)[C@@H](NC(C)=O)[C@@H](O3)[C@H](O)[C@H](O)CO)C(O)=O)[C@H]2O)[C@H](O)[C@H]1O)NC([*])=O
C01358	[NH4+].[OH-]
C00302	NC(CCC(O)=O)C(O)=O
C00023	[Fe]
C01736	OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1cnc2cncnc12
C01602	NCCCC(N)C(O)=O
C03272	CCCCCCCCCCCCC\C=C\[C@@H](O)[C@H](CO[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O[C@H]3O[C@H](CO)[C@H](O)[C@H](O[C@@H]4O[C@H](CO)[C@H](O)[C@H](O)[C@H]4NC(C)=O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O)NC([*])=O
C00372	[H][C@@]1(OC(=O)[C@@H](O)[C@H]1O)[C@@H](O)C=O
C02269	OC[C@H]1O[C@@H]([*])C[C@@H]1O
C06603	OC(=O)\C=C/C(O)=C\C=O
C00229	S*
C04170	[H][C@@]1(CCN2C[C@H]3C[C@H](CN4C(=O)CCC[C@]34[H])[C@@]2([H])C1)OC(=O)C(\C)=C\C
C01190	CCCCCCCCCCCCC\C=C\[C@@H](O)[C@H](COC1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)NC([*])=O
C00426	OP1(=O)OC[C@H]2O[C@@H]([*])[C@H]([*])[C@@H]2O1
C02406	[H]C(=O)Nc1ccccc1C(=O)CC(N)C(O)=O
C00726	[*]C#N
C06393	NCC(N)C(O)=O
C02686	[C@H]([C@@H](*)O)(NC(=O)*)COC1O[C@@H]([C@@H]([C@@H]([C@H]1O)O)O)CO
C01935	NCCc1ccccc1
C04722	C[C@H](CCCC(C)C(O)=O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C
C06348	COc1cc2CCNC(Cc3ccc(O)cc3)c2cc1O
C06346	Oc1ccc(CC2NCCc3cc(O)c(O)cc23)cc1
C05999	[H]C(=O)C(C)O
C05532	O=S=O
C02919	COc1cc(cc(OC)c1O)\C=C\C(=O)OC1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
C06341	[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@H](O)C=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCCC(C)CO
C10675	CC(=O)c1ccc(O)c(O)c1
C06614	[H]C(=CCl)C(O)=O
C14450	Nc1ccc(Cl)cc1
C14100	OC(=O)c1ccc(C=O)cc1O
C14108	[H]C(=O)c1ccc(CO)cc1O
C16684	CC(=O)ON[*]
C02562	NC(=N)NCCC[C@H](NC([*])=O)C(O)=O
C04305	OC(=O)CC[C@H](NC([*])=O)C(O)=O
C05702	P(OCCC(C(O)=O)N)(=O)(O)O
C02245	*SO
C04026	NC(=N)NCCC[C@H](N[*])C(O)=O
C00875	[H][C@]12SCC([*])=C(N1C(=O)[C@H]2[*])C(O)=O
C05712	OC([*])([*])C#N
C06081	CC1(C)C2CC(O)C(=C)C1C2
C12328	COc1ccc(CC2N(C)CCc3cc(OC)c(O)cc23)cc1O
C11942	CC(C)C(=C)C\C=C(/C)C=O
C08258	O[C@@H]1C[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O
C02143	O1C(C([C@H]([C@@H](C1O)O)O)O)*
C02493	[H][C@@](C)(CCC(=O)C(C)C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)n1cnc2c(N)ncnc12)[C@@]1([H])CC[C@@]2([H])[C@]3([H])[C@H](O)C[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])C[C@H](O)[C@]12C
C03311	N#CCc1cccs1
C10438	[H]C(=Cc1ccccc1)C(O)=O
C02903	CC(CN)C(O)=O
C05447	[H][C@@](C)(CCC=C(C)C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)n1cnc2c(N)ncnc12)[C@@]1([H])CC[C@@]2([H])[C@]3([H])[C@H](O)C[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C
C09754	C[C@@H]1O[C@@H](Oc2cc(O)cc(O)c2C(=O)CCc2ccc(O)cc2)[C@H](O)[C@H](O)[C@H]1O
C09763	O[C@@H]1[C@H](Oc2c([C@H]3[C@@H](Oc4cc(O)cc(O)c4C3=O)c3ccc(O)c(O)c3)c(O)cc(O)c2C1=O)c1ccc(O)c(O)c1
C05842	Cn1cc(ccc1=O)C(N)=O
C04469	CC(C)Cc1ccc(cc1)C(C)C#N
C02957	OC[C@H]1O[C@H](C[C@@H]1O)n1cnc2C(=O)CNC=Nc12
C04019	CC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@@H]1O[*]
C02605	C[C@@H]1O[C@H](O[*])[C@H](O)[C@H](O)[C@H]1O
C05445	[H]C(=O)C(C)CCC[C@@H](C)[C@@]1([H])CC[C@@]2([H])[C@]3([H])[C@H](O)C[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C
C07214	Cc1ccccc1C=O
C07198	[H][C@@]12CCC3=CC(=O)CC[C@]3(C)[C@@]1([H])CC[C@@]1(C)[C@@]2([H])CC[C@]1(C)O
C05831	COc1cccc(C([O-])=O)c1N
C00994	C[C@@H](O)C(=O)O[C@H]1C=C[C@](CC(=O)C(O)=O)(C=C1)C(O)=O
C06146	OCCC#C
C08602	CC(\C=C\C=C(C)\C=C\[C@H]1C(C)=C[C@H](O)CC1(C)C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/[C@@]12O[C@]1(C)C[C@@H](O)CC2(C)C
C03007	CCC(=O)n1ccnc1
C06637	ClC=C(c1ccc(Cl)cc1)c1ccc(Cl)cc1
C05895	C[C@@H](NC(=O)[C@@H](C)NC(=O)[C@H](CCCCNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CN)NC(=O)CC[C@@H](NC(=O)[C@H](C)NC(=O)[C@@H](C)O[C@@H]1[C@@H](NC(C)=O)[C@H](O[C@H](CO)[C@H]1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1NC(C)=O)OP(O)(=O)OP(O)(=O)OC\C=C(\C)CC\C=C(\C)CC\C=C(\C)CC\C=C(\C)CC\C=C(\C)CC\C=C(\C)CC\C=C(\C)CC\C=C(\C)CC\C=C(/C)CC\C=C(/C)CCC=C(C)C)C(N)=O)C(O)=O
C03146	C(\CC)=C\CC(/C=C/C=C\C/C=C\C/C=C\CCCC(=O)O)O
C05119	CC(C)CC(=O)SCCC(S)CCCCC(N)=O
C04461	CC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](COP(O)(O)=O)OC1OP(O)(O)=O
C08877	[H][C@]12CC[C@]3([H])[C@]([H])([C@H](O)C[C@]4(C)[C@]([H])(CC[C@]34O)C3=CC(=O)CC3)[C@@]1(C)CC[C@@H](C2)O[C@@H]1O[C@@H](C)[C@H](O)[C@@H](O)[C@H]1O
C05957	CCCCC[C@H](O)\C=C\[C@@H]1[C@@H](C\C=C/CCCC(O)=O)C=CC1=O
C10530	COc1c(ccc(O)c1CC=C(C)C)C1COC2C=C(O)C=C(O)C2C1=O
C08819	[H][C@]12CC[C@]3(C)[C@]([H])(CC[C@@]3(O)C1=CC(=O)[C@]1([H])C[C@@H](O)[C@@H](O)C[C@]21C)[C@@](C)(O)[C@H](O)CC[C@@H](C)CO
C14334	CNC(=O)Oc1ccccc1OC(C)C
C05449	[H][C@@](C)(CCC(=O)C(C)C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)n1cnc2c(N)ncnc12)[C@@]1([H])CC[C@@]2([H])[C@]3([H])[C@H](O)C[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C
C03109	[H]C(=O)[C@@H](O)[C@H](O)COP(O)(O)=O
C08856	[H][C@]12CC[C@]3([H])[C@]([H])(CC[C@]4(C)[C@]([H])(CC[C@]34O)C3=CC(=O)OC3)[C@@]1(C)CC[C@@H](C2)O[C@@H]1O[C@@H](C)[C@H](O[C@@H]2O[C@H](CO[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](OC)[C@@H]1O
C05657	OC(Cc1c[nH]c2cc(O)ccc12)C(O)=O
C02472	C[C@H]1O[C@H](O[*])[C@H](O)[C@@H](O)[C@H]1O
C11010	Nc1ccccc1F
C05399	OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)COC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@H]1O
C11432	Oc1cccc2c1ccc1ccccc21
C04307	Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP(O)(=O)OP(=O)(OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2cnc3c(N)ncnc23)OP(O)(O)=O)[C@@H](O)[C@H]1O
C02603	OC[C@@H]1[C@H]([C@@H]([C@H](O)[C@H](O1)O*)O)O
C00943	O[C@@H]1[C@@H]2OP(O)(=O)OC[C@H]2O[C@H]1n1cnc2c(O)ncnc12
C03425	CCCCCCCC\C=C/CCCCCCCC(=O)OC
C10060	C[C@H](CCC(=O)NCCC[N+](C)(C)CCCS([O-])(=O)=O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C
C05031	COc1nc(N)nc2n(cnc12)[C@H]1C[C@H](O)[C@@H](CO)O1
C06478	[H]C(=O)[C@]([H])(O)[C@@]1([H])OC[C@@H](O)[C@H]1O
C04709	CN[C@H]1[C@H](O)[C@@H](O)[C@H](CO)O[C@H]1O[C@@H]1[C@@H](COP(O)(O)=O)[C@H](C)O[C@H]1O[C@H]1[C@H](O)[C@@H](OP(O)(O)=O)[C@H](NC(N)=N)[C@@H](O)[C@@H]1NC(N)=N
C04147	OC[C@H]1O[C@H](O[C@@H]2[C@H](O)[C@H](O)O[C@H](CO)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
